"param","unidad","estadistico","tiempo","medida_tiempo","nemonico"
"AGUA ANIADIDA (TANQUE DE EVAPORACION)","cm","INST","HORAS",1,"775161h"
"AGUA ANIADIDA (TANQUE DE EVAPORACION)","mm","INST","HORAS",1,"7714161h"
"AGUA SACADA (TANQUE DE EVAPORACION)","cm","INST","HORAS",1,"765161h"
"AGUA SACADA (TANQUE DE EVAPORACION)","mm","INST","HORAS",1,"7614161h"
"ALBEDO","W/m²","PROM","HORAS",1,"1252041h"
"ALTURA DE LA NIEVE","m","INST","HORAS",1,"110161h"
"ALTURA SOBRE EL SUELO NUBES BAJAS","m","INST","HORAS",1,"6510161h"
"ALTURA SOBRE EL SUELO NUBES MEDIAS","m","INST","HORAS",1,"6810161h"
"CANTIDAD NUBES ALTAS","OCT","INST","HORAS",1,"6927161h"
"CANTIDAD NUBES BAJAS","OCT","INST","HORAS",1,"6327161h"
"CANTIDAD NUBES MADIAS","OCT","INST","HORAS",1,"6627161h"
"CANTIDAD TOTAL NUBES","OCT","INST","HORAS",1,"7127161h"
"CAUDAL","m3/s","INST","HORAS",1,"12630161h"
"CAUDAL","m3/s","PROM","HORAS",1,"1263041h"
"CAUDAL","m3/s","MIN","HORAS",1,"1263021h"
"CAUDAL","m3/s","MAX","HORAS",1,"1263011h"
"CAUDAL","m3/s","DEV","HORAS",1,"12630321h"
"CONDUCTIVIDAD DEL AGUA","mS/cm","MIN","HORAS",1,"21821h"
"CONDUCTIVIDAD DEL AGUA","mS/cm","PROM","HORAS",1,"21841h"
"CONDUCTIVIDAD DEL AGUA","mS/cm","INST","HORAS",1,"218161h"
"CONDUCTIVIDAD DEL AGUA","mS/cm","DEV","HORAS",1,"218321h"
"CONDUCTIVIDAD DEL AGUA","mS/cm","MAX","HORAS",1,"21811h"
"EVAPORACION","mm","INST","HORAS",1,"614161h"
"EVAPORACION","mm","PROM","HORAS",1,"61441h"
"EVAPORACION","mm","MIN","HORAS",1,"61421h"
"EVAPORACION","mm","MAX","HORAS",1,"61411h"
"FENOMENOS","Adimensional","INST","HORAS",1,"734161h"
"GENERO NUBES ALTAS","Adimensional","INST","HORAS",1,"704161h"
"GENERO NUBES BAJAS","Adimensional","INST","HORAS",1,"644161h"
"GENERO NUBES MEDIAS","Adimensional","INST","HORAS",1,"674161h"
"HORA DE LA RAFAGA","h","MAX","HORAS",1,"7611h"
"HUMEDAD DEL SUELO","%","PROM","HORAS",1,"8141h"
"HUMEDAD DEL SUELO","%","MIN","HORAS",1,"8121h"
"HUMEDAD DEL SUELO","%","MAX","HORAS",1,"8111h"
"HUMEDAD RELATIVA DEL AIRE","%","DEV","HORAS",1,"91321h"
"HUMEDAD RELATIVA DEL AIRE","%","INST","HORAS",1,"91161h"
"HUMEDAD RELATIVA DEL AIRE","%","PROM","HORAS",1,"9141h"
"HUMEDAD RELATIVA DEL AIRE","%","MAX","HORAS",1,"9111h"
"HUMEDAD RELATIVA DEL AIRE","%","MIN","HORAS",1,"9121h"
"HUMEDAD RELATIVA DEL AIRE(HIGROGRAFO)","%","INST","HORAS",1,"621161h"
"INDICE UV","Adimensional","PROM","HORAS",1,"10441h"
"LECTURA MICROMETRO (TANQUE DE EVAPORACION)","mm","INST","HORAS",1,"7414161h"
"LECTURA MICROMETRO (TANQUE DE EVAPORACION)","mm","SUM","HORAS",1,"741481h"
"LONGITUD DE RADIACION DE ONDA LARGA INFERIOR CORREGIDA POR TEMPERATURA","W/m²","PROM","HORAS",1,"1242041h"
"LONGITUD DE RADIACION DE ONDA LARGA SUPERIOR CORREGIDA POR TEMPERATURA","W/m²","PROM","HORAS",1,"1232041h"
"MANTENIMIENTO","Adimensional","INST","HORAS",1,"544161h"
"MINUTO DE LA RAFAGA","min","MAX","HORAS",1,"131311h"
"NIVEL DEL AGUA","m","DEV","HORAS",1,"1410321h"
"NIVEL DEL AGUA","m","PROM","HORAS",1,"141041h"
"NIVEL DEL AGUA","m","MIN","HORAS",1,"141021h"
"NIVEL DEL AGUA","m","MAX","HORAS",1,"141011h"
"NIVEL DEL AGUA","m","INST","HORAS",1,"1410161h"
"OXIGENO DISUELTO","%","PROM","HORAS",1,"15141h"
"OXIGENO DISUELTO","%","MAX","HORAS",1,"15111h"
"OXIGENO DISUELTO","%","MIN","HORAS",1,"15121h"
"OXIGENO DISUELTO","%","DEV","HORAS",1,"151321h"
"OXIGENO DISUELTO","%","INST","HORAS",1,"151161h"
"OXIGENO DISUELTO","mg/L","PROM","HORAS",1,"151241h"
"OXIGENO DISUELTO","mg/L","MAX","HORAS",1,"151211h"
"OXIGENO DISUELTO","mg/L","MIN","HORAS",1,"151221h"
"OXIGENO DISUELTO","mg/L","DEV","HORAS",1,"1512321h"
"OXIGENO DISUELTO","mg/L","INST","HORAS",1,"1512161h"
"PRECIPITACION","mm","INST","HORAS",1,"1714161h"
"PRECIPITACION","mm","SUM","HORAS",1,"171481h"
"PRECIPITACION (ACUM)","mm","SUM","HORAS",1,"1111481h"
"PRECIPITACION TOTAL ACUMULADA DESDE EL INICIO DE OPERACION DEL APARATO","mm","SUM","HORAS",1,"511481h"
"PRESION ATMOSFERICA","hPa","MAX","HORAS",1,"18711h"
"PRESION ATMOSFERICA","hPa","DEV","HORAS",1,"187321h"
"PRESION ATMOSFERICA","hPa","PROM","HORAS",1,"18741h"
"PRESION ATMOSFERICA","mmhg","INST","HORAS",1,"1826161h"
"PRESION ATMOSFERICA","hPa","INST","HORAS",1,"187161h"
"PRESION ATMOSFERICA","hPa","MIN","HORAS",1,"18721h"
"PRESION ATMOSFERICA CONVERTIDA","hPa","INST","HORAS",1,"1097161h"
"PRESION ATMOSFERICA CORREGIDA A LA TEMPERATURA Y GRAVEDAD NORMAL","hPa","INST","HORAS",1,"1087161h"
"PRESION ATMOSFERICA (MICROBAROGRAFO)","hPa","INST","HORAS",1,"567161h"
"PRESION ATMOSFERICA REDUCIDA AL NIVEL DEL MAR","hPa","INST","HORAS",1,"557161h"
"PUNTO DE ROCIO","°C","INST","HORAS",1,"603161h"
"RADIACION DE ONDA CORTA INFERIOR","W/m²","PROM","HORAS",1,"1162041h"
"RADIACION DE ONDA CORTA SUPERIOR","W/m²","PROM","HORAS",1,"1152041h"
"RADIACION DE ONDA LARGA INFERIOR","W/m²","PROM","HORAS",1,"1182041h"
"RADIACION DE ONDA LARGA SUPERIOR","W/m²","PROM","HORAS",1,"1172041h"
"RADIACION DIFUSA","W/m²","SUM","HORAS",1,"192081h"
"RADIACION DIFUSA","W/m²","PROM","HORAS",1,"192041h"
"RADIACION DIFUSA","W/m²","MIN","HORAS",1,"192021h"
"RADIACION DIFUSA","W/m²","MAX","HORAS",1,"192011h"
"RADIACION DIRECTA","W/m²","PROM","HORAS",1,"202041h"
"RADIACION DIRECTA","W/m²","INST","HORAS",1,"2020161h"
"RADIACION NETA DE ONDA CORTA","W/m²","PROM","HORAS",1,"1202041h"
"RADIACION NETA DE ONDA LARGA","W/m²","PROM","HORAS",1,"1212041h"
"RADIACION NETA TOTAL","W/m²","PROM","HORAS",1,"1222041h"
"RADIACION SOLAR GLOBAL","W/m²","MIN","HORAS",1,"212021h"
